ID,Type,Artikelnummer,Naam,Gepubliceerd,Uitgelicht?,Zichtbaarheid in catalogus,Korte omschrijving,Beschrijving,Startdatum actieprijs,Einddatum actieprijs,Btw status,Belastingklasse,Op voorraad?,Voorraad,Lage voorraad,Nabestellingen toestaan?,Wordt individueel verkocht?,Gewicht (kg),Lengte (cm),Breedte (cm),Hoogte (cm),Klantbeoordelingen toestaan?,Aankoopnotitie,Actieprijs,Reguliere prijs,Categorieën,Tags,Verzendklasse,Afbeeldingen,Downloadlimiet,Dagen vervaltijd download,Hoofd,Gegroepeerde producten,Upsells,Cross-sells,Externe URL,Knop tekst,Positie
744625,simple,,Delicttheorie,0,,visible,Volwassenen die een delict hebben gepleegd onderzoeken welke factoren van invloed zijn geweest op het delict om dit in de toekomst te voorkomen.,,,,taxable,,1,,,0,0,,,,,0,,,,"Zorgthema (Area of care) > Impulscontrole en emotieregulatie, Doelgroep (Target audience) > 16 - 25 jaar, Doelgroep (Target audience) > Volwassenen, Doelgroep (Target audience) > Ouderen, Vorm van zorg (Form of care) > Forensische zorg (FZ), Therapievorm (Form of therapy) > Cognitieve gedragstherapie (CGT), Uitgever > Karify","delict, delictgedrag, delictketen, delicttheorie, KFZ, delinquent, delictanalyse",,,,,,,,,,,0
744626,simple,,De mensen om mij heen,0,,visible,"Jongeren leren meer over een sociaal netwerk, eenzaamheid en steun.",,,,taxable,,1,,,0,0,,,,,0,,,,"Zorgthema (Area of care) > Generiek, Zorgthema (Area of care) > Sociale contacten en relaties, Doelgroep (Target audience) > 12 - 16 jaar, Vorm van zorg (Form of care) > Generiek, Therapievorm (Form of therapy) > Cognitieve gedragstherapie (CGT), Uitgever > Karify","Sociaal netwerk, sociale cirkels, contacten, naasten, vriendschap, bekenden, familie, eenzaamheid, steun, sociaal",,,,,,,,,,,0
744627,simple,,Verander je gokgedrag,0,,visible,Volwassenen die hun gokgedrag willen veranderen werken stapsgewijs aan hun functie-analyse en terugvalpreventieplan.,,,,taxable,,1,,,0,0,,,,,0,,,,"Zorgthema (Area of care) > Verslaving, Doelgroep (Target audience) > 16 - 25 jaar, Doelgroep (Target audience) > Volwassenen, Doelgroep (Target audience) > Ouderen, Vorm van zorg (Form of care) > Specialistische GGZ, Vorm van zorg (Form of care) > Verslavingszorg, Therapievorm (Form of therapy) > Cognitieve gedragstherapie (CGT), Uitgever > Karify","gokken, gokgedrag, gokverslaving, verslaving, gokgedrag veranderen, stoppen, minderen, CGT, online CGT",,,,,,,,,,,0
744628,simple,,Voorbereiden op verandering,0,,visible,Volwassenen die hun gokgedrag willen veranderen werken stapsgewijs aan hun functie-analyse en terugvalpreventieplan.,,,,taxable,,1,,,0,0,,,,,0,,,,"Zorgthema (Area of care) > Verslaving, Doelgroep (Target audience) > 16 - 25 jaar, Doelgroep (Target audience) > Volwassenen, Doelgroep (Target audience) > Ouderen, Vorm van zorg (Form of care) > Specialistische GGZ, Vorm van zorg (Form of care) > Verslavingszorg, Therapievorm (Form of therapy) > Cognitieve gedragstherapie (CGT), Uitgever > Karify","gokken, gokgedrag, gokverslaving, verslaving, gokgedrag veranderen, stoppen, minderen, CGT, online CGT, functie-analyse, terugvalpreventieplan",,,,,,,,,,,0
744629,simple,,Veranderdoel en zelfcontrolemaatregelen,0,,visible,Volwassenen die hun gokgedrag willen veranderen werken stapsgewijs aan hun functie-analyse en terugvalpreventieplan.,,,,taxable,,1,,,0,0,,,,,0,,,,"Zorgthema (Area of care) > Verslaving, Doelgroep (Target audience) > 16 - 25 jaar, Doelgroep (Target audience) > Volwassenen, Doelgroep (Target audience) > Ouderen, Vorm van zorg (Form of care) > Specialistische GGZ, Vorm van zorg (Form of care) > Verslavingszorg, Therapievorm (Form of therapy) > Cognitieve gedragstherapie (CGT), Uitgever > Karify","gokken, gokgedrag, gokverslaving, verslaving, gokgedrag veranderen, stoppen, minderen, CGT, online CGT, functie-analyse, terugvalpreventieplan",,,,,,,,,,,0
744630,simple,,Risicosituaties,0,,visible,Volwassenen die hun gokgedrag willen veranderen werken stapsgewijs aan hun functie-analyse en terugvalpreventieplan.,,,,taxable,,1,,,0,0,,,,,0,,,,"Zorgthema (Area of care) > Verslaving, Doelgroep (Target audience) > 16 - 25 jaar, Doelgroep (Target audience) > Volwassenen, Doelgroep (Target audience) > Ouderen, Vorm van zorg (Form of care) > Specialistische GGZ, Vorm van zorg (Form of care) > Verslavingszorg, Therapievorm (Form of therapy) > Cognitieve gedragstherapie (CGT), Uitgever > Karify","gokken, gokgedrag, gokverslaving, verslaving, gokgedrag veranderen, stoppen, minderen, CGT, online CGT, functie-analyse, terugvalpreventieplan",,,,,,,,,,,0
744631,simple,,Functie-analyse en noodmaatregelen,0,,visible,Volwassenen die hun gokgedrag willen veranderen werken stapsgewijs aan hun functie-analyse en terugvalpreventieplan.,,,,taxable,,1,,,0,0,,,,,0,,,,"Zorgthema (Area of care) > Verslaving, Doelgroep (Target audience) > 16 - 25 jaar, Doelgroep (Target audience) > Volwassenen, Doelgroep (Target audience) > Ouderen, Vorm van zorg (Form of care) > Specialistische GGZ, Vorm van zorg (Form of care) > Verslavingszorg, Therapievorm (Form of therapy) > Cognitieve gedragstherapie (CGT), Uitgever > Karify","gokken, gokgedrag, gokverslaving, verslaving, gokgedrag veranderen, stoppen, minderen, CGT, online CGT, functie-analyse, terugvalpreventieplan",,,,,,,,,,,0
744632,simple,,Omgaan met drang,0,,visible,Volwassenen die hun gokgedrag willen veranderen werken stapsgewijs aan hun functie-analyse en terugvalpreventieplan.,,,,taxable,,1,,,0,0,,,,,0,,,,"Zorgthema (Area of care) > Verslaving, Doelgroep (Target audience) > 16 - 25 jaar, Doelgroep (Target audience) > Volwassenen, Doelgroep (Target audience) > Ouderen, Vorm van zorg (Form of care) > Specialistische GGZ, Vorm van zorg (Form of care) > Verslavingszorg, Therapievorm (Form of therapy) > Cognitieve gedragstherapie (CGT), Uitgever > Karify","gokken, gokgedrag, gokverslaving, verslaving, gokgedrag veranderen, stoppen, minderen, CGT, online CGT, functie-analyse, terugvalpreventieplan",,,,,,,,,,,0
744633,simple,,Veranderen van gedrag,0,,visible,Volwassenen die hun gokgedrag willen veranderen werken stapsgewijs aan hun functie-analyse en terugvalpreventieplan.,,,,taxable,,1,,,0,0,,,,,0,,,,"Zorgthema (Area of care) > Verslaving, Doelgroep (Target audience) > 16 - 25 jaar, Doelgroep (Target audience) > Volwassenen, Doelgroep (Target audience) > Ouderen, Vorm van zorg (Form of care) > Specialistische GGZ, Vorm van zorg (Form of care) > Verslavingszorg, Therapievorm (Form of therapy) > Cognitieve gedragstherapie (CGT), Uitgever > Karify","gokken, gokgedrag, gokverslaving, verslaving, gokgedrag veranderen, stoppen, minderen, CGT, online CGT, functie-analyse, terugvalpreventieplan",,,,,,,,,,,0
744634,simple,,Weigeren van aangeboden gokkans,0,,visible,Volwassenen die hun gokgedrag willen veranderen werken stapsgewijs aan hun functie-analyse en terugvalpreventieplan.,,,,taxable,,1,,,0,0,,,,,0,,,,"Zorgthema (Area of care) > Verslaving, Doelgroep (Target audience) > 16 - 25 jaar, Doelgroep (Target audience) > Volwassenen, Doelgroep (Target audience) > Ouderen, Vorm van zorg (Form of care) > Specialistische GGZ, Vorm van zorg (Form of care) > Verslavingszorg, Therapievorm (Form of therapy) > Cognitieve gedragstherapie (CGT), Uitgever > Karify","gokken, gokgedrag, gokverslaving, verslaving, gokgedrag veranderen, stoppen, minderen, CGT, online CGT, functie-analyse, terugvalpreventieplan",,,,,,,,,,,0
744635,simple,,Evalueren,0,,visible,Volwassenen die hun gokgedrag willen veranderen werken stapsgewijs aan hun functie-analyse en terugvalpreventieplan.,,,,taxable,,1,,,0,0,,,,,0,,,,"Zorgthema (Area of care) > Verslaving, Doelgroep (Target audience) > 16 - 25 jaar, Doelgroep (Target audience) > Volwassenen, Doelgroep (Target audience) > Ouderen, Vorm van zorg (Form of care) > Specialistische GGZ, Vorm van zorg (Form of care) > Verslavingszorg, Therapievorm (Form of therapy) > Cognitieve gedragstherapie (CGT), Uitgever > Karify","gokken, gokgedrag, gokverslaving, verslaving, gokgedrag veranderen, stoppen, minderen, CGT, online CGT, functie-analyse, terugvalpreventieplan",,,,,,,,,,,0
744636,simple,,Terugvalpreventieplan,0,,visible,Volwassenen die hun gokgedrag willen veranderen werken stapsgewijs aan hun functie-analyse en terugvalpreventieplan.,,,,taxable,,1,,,0,0,,,,,0,,,,"Zorgthema (Area of care) > Verslaving, Doelgroep (Target audience) > 16 - 25 jaar, Doelgroep (Target audience) > Volwassenen, Doelgroep (Target audience) > Ouderen, Vorm van zorg (Form of care) > Specialistische GGZ, Vorm van zorg (Form of care) > Verslavingszorg, Therapievorm (Form of therapy) > Cognitieve gedragstherapie (CGT), Uitgever > Karify","gokken, gokgedrag, gokverslaving, verslaving, gokgedrag veranderen, stoppen, minderen, CGT, online CGT, functie-analyse, terugvalpreventieplan",,,,,,,,,,,0
744637,simple,,Mijn sociaal netwerk,0,,visible,Jongeren krijgen uitleg over wat een sociaal netwerk is en brengen hun eigen sociaal netwerk in kaart.,,,,taxable,,1,,,0,0,,,,,0,,,,"Zorgthema (Area of care) > Generiek, Doelgroep (Target audience) > 12 - 16 jaar, Vorm van zorg (Form of care) > Generiek, Therapievorm (Form of therapy) > Cognitieve gedragstherapie (CGT), Uitgever > Karify","Sociaal netwerk, contacten, naasten, vrienden, familie, bekenden, sociaal, relaties",,,,,,,,,,,0
744638,simple,,Grenzen stellen,0,,visible,Jongeren leren over grenzen en waarom het belangrijk is om grenzen te stellen.,,,,taxable,,1,,,0,0,,,,,0,,,,"Zorgthema (Area of care) > Generiek, Zorgthema (Area of care) > Sociale contacten en relaties, Doelgroep (Target audience) > 12 - 16 jaar, Vorm van zorg (Form of care) > Generiek, Vorm van zorg (Form of care) > Kind en jeugd, Therapievorm (Form of therapy) > Cognitieve gedragstherapie (CGT), Uitgever > Karify","Grenzen, grenzen stellen, grenzen aangeven, gezonde grenzen, strenge grenzen, vage grenzen, nee zeggen, voor jezelf zorgen, gezonde relaties, relaties",,,,,,,,,,,0
744639,simple,,Wat is herstel?,0,,visible,Cliënten leren over herstel en hoe zij richting kunnen geven aan het herstelproces.,,,,taxable,,1,,,0,0,,,,,0,,,,"Zorgthema (Area of care) > Generiek, Doelgroep (Target audience) > 16 - 25 jaar, Doelgroep (Target audience) > Volwassenen, Doelgroep (Target audience) > Ouderen, Vorm van zorg (Form of care) > Revalidatie en herstel, Therapievorm (Form of therapy) > Cognitieve gedragstherapie (CGT), Uitgever > Karify","Herstel, herstelgerichte zorg, herstelondersteunende zorg, persoonlijk herstel, maatschappelijk herstel, herstel van klachten, verminderen van klachten ",,,,,,,,,,,0
744640,simple,,Verander je alcoholgebruik,0,,visible,Cliënten krijgen inzicht in hun alcoholgebruik en leren hoe zij het alcoholgebruik kunnen veranderen.,,,,taxable,,1,,,0,0,,,,,0,,,,"Zorgthema (Area of care) > Verslaving, Doelgroep (Target audience) > 16 - 25 jaar, Doelgroep (Target audience) > Volwassenen, Doelgroep (Target audience) > Ouderen, Vorm van zorg (Form of care) > Basis GGZ, Therapievorm (Form of therapy) > Cognitieve gedragstherapie (CGT), Uitgever > Karify","Alcohol, alcoholgebruik, drinken, gebruik, alcoholverslaving, verslaving, alcoholgebruik veranderen, stoppen, minderen, CGT, online CGT",,,,,,,,,,,0
744641,simple,,Voorbereiden op verandering,0,,visible,Cliënten krijgen inzicht in hun alcoholgebruik en leren hoe zij het alcoholgebruik kunnen veranderen.,,,,taxable,,1,,,0,0,,,,,0,,,,"Zorgthema (Area of care) > Verslaving, Doelgroep (Target audience) > 16 - 25 jaar, Doelgroep (Target audience) > Volwassenen, Doelgroep (Target audience) > Ouderen, Vorm van zorg (Form of care) > Basis GGZ, Therapievorm (Form of therapy) > Cognitieve gedragstherapie (CGT), Uitgever > Karify","Alcohol, alcoholgebruik, drinken, gebruik, alcoholverslaving, verslaving, alcoholgebruik veranderen, stoppen, minderen, CGT, online CGT",,,,,,,,,,,0
744642,simple,,Veranderdoel en controlemaatregelen,0,,visible,Cliënten krijgen inzicht in hun alcoholgebruik en leren hoe zij het alcoholgebruik kunnen veranderen.,,,,taxable,,1,,,0,0,,,,,0,,,,"Zorgthema (Area of care) > Verslaving, Doelgroep (Target audience) > 16 - 25 jaar, Doelgroep (Target audience) > Volwassenen, Doelgroep (Target audience) > Ouderen, Vorm van zorg (Form of care) > Basis GGZ, Therapievorm (Form of therapy) > Cognitieve gedragstherapie (CGT), Uitgever > Karify","Alcohol, alcoholgebruik, drinken, gebruik, alcoholverslaving, verslaving, alcoholgebruik veranderen, stoppen, minderen, CGT, online CGT",,,,,,,,,,,0
744643,simple,,Risicosituaties,0,,visible,Cliënten krijgen inzicht in hun alcoholgebruik en leren hoe zij het alcoholgebruik kunnen veranderen.,,,,taxable,,1,,,0,0,,,,,0,,,,"Zorgthema (Area of care) > Verslaving, Doelgroep (Target audience) > 16 - 25 jaar, Doelgroep (Target audience) > Volwassenen, Doelgroep (Target audience) > Ouderen, Vorm van zorg (Form of care) > Basis GGZ, Therapievorm (Form of therapy) > Cognitieve gedragstherapie (CGT), Uitgever > Karify","Alcohol, alcoholgebruik, drinken, gebruik, alcoholverslaving, verslaving, alcoholgebruik veranderen, stoppen, minderen, CGT, online CGT",,,,,,,,,,,0
744644,simple,,Functie-analyse en noodmaatregelen,0,,visible,Cliënten krijgen inzicht in hun alcoholgebruik en leren hoe zij het alcoholgebruik kunnen veranderen.,,,,taxable,,1,,,0,0,,,,,0,,,,"Zorgthema (Area of care) > Verslaving, Doelgroep (Target audience) > 16 - 25 jaar, Doelgroep (Target audience) > Volwassenen, Doelgroep (Target audience) > Ouderen, Vorm van zorg (Form of care) > Basis GGZ, Therapievorm (Form of therapy) > Cognitieve gedragstherapie (CGT), Uitgever > Karify","Alcohol, alcoholgebruik, drinken, gebruik, alcoholverslaving, verslaving, alcoholgebruik veranderen, stoppen, minderen, CGT, online CGT",,,,,,,,,,,0
744645,simple,,Omgaan met trek,0,,visible,Cliënten krijgen inzicht in hun alcoholgebruik en leren hoe zij het alcoholgebruik kunnen veranderen.,,,,taxable,,1,,,0,0,,,,,0,,,,"Zorgthema (Area of care) > Verslaving, Doelgroep (Target audience) > 16 - 25 jaar, Doelgroep (Target audience) > Volwassenen, Doelgroep (Target audience) > Ouderen, Vorm van zorg (Form of care) > Basis GGZ, Therapievorm (Form of therapy) > Cognitieve gedragstherapie (CGT), Uitgever > Karify","Alcohol, alcoholgebruik, drinken, gebruik, alcoholverslaving, verslaving, alcoholgebruik veranderen, stoppen, minderen, CGT, online CGT",,,,,,,,,,,0
744646,simple,,Veranderen van gedrag,0,,visible,Cliënten krijgen inzicht in hun alcoholgebruik en leren hoe zij het alcoholgebruik kunnen veranderen.,,,,taxable,,1,,,0,0,,,,,0,,,,"Zorgthema (Area of care) > Verslaving, Doelgroep (Target audience) > 16 - 25 jaar, Doelgroep (Target audience) > Volwassenen, Doelgroep (Target audience) > Ouderen, Vorm van zorg (Form of care) > Basis GGZ, Therapievorm (Form of therapy) > Cognitieve gedragstherapie (CGT), Uitgever > Karify","Alcohol, alcoholgebruik, drinken, gebruik, alcoholverslaving, verslaving, alcoholgebruik veranderen, stoppen, minderen, CGT, online CGT",,,,,,,,,,,0
744647,simple,,Weigeren van aangeboden alcohol,0,,visible,Cliënten krijgen inzicht in hun alcoholgebruik en leren hoe zij het alcoholgebruik kunnen veranderen.,,,,taxable,,1,,,0,0,,,,,0,,,,"Zorgthema (Area of care) > Verslaving, Doelgroep (Target audience) > 16 - 25 jaar, Doelgroep (Target audience) > Volwassenen, Doelgroep (Target audience) > Ouderen, Vorm van zorg (Form of care) > Basis GGZ, Therapievorm (Form of therapy) > Cognitieve gedragstherapie (CGT), Uitgever > Karify","Alcohol, alcoholgebruik, drinken, gebruik, alcoholverslaving, verslaving, alcoholgebruik veranderen, stoppen, minderen, CGT, online CGT",,,,,,,,,,,0
744648,simple,,Evalueren,0,,visible,Cliënten krijgen inzicht in hun alcoholgebruik en leren hoe zij het alcoholgebruik kunnen veranderen.,,,,taxable,,1,,,0,0,,,,,0,,,,"Zorgthema (Area of care) > Verslaving, Doelgroep (Target audience) > 16 - 25 jaar, Doelgroep (Target audience) > Volwassenen, Doelgroep (Target audience) > Ouderen, Vorm van zorg (Form of care) > Basis GGZ, Therapievorm (Form of therapy) > Cognitieve gedragstherapie (CGT), Uitgever > Karify","Alcohol, alcoholgebruik, drinken, gebruik, alcoholverslaving, verslaving, alcoholgebruik veranderen, stoppen, minderen, CGT, online CGT",,,,,,,,,,,0
744649,simple,,Oudertraining gedragsproblemen ASS,0,,visible,Ouders of verzorgers worden geholpen in de omgang met hun jonge kind met een autismespectrumstoornis. ,,,,taxable,,1,,,0,0,,,,,0,,,,"Zorgthema (Area of care) > Ontwikkeling, Doelgroep (Target audience) > Ouders of verzorgers, Vorm van zorg (Form of care) > Basis GGZ, Vorm van zorg (Form of care) > Specialistische GGZ, Therapievorm (Form of therapy) > Cognitieve gedragstherapie (CGT), Uitgever > Karify","ASS, autismespectrumstoornis, autisme, gedragsproblemen, probleemgedrag, ouders, opvoeding, omgang met kind, omgaan met probleemgedrag, omgaan met autisme, omgaan met ass, gedragsverandering, doelgedrag, gewenst gedrag ",,,,,,,,,,,0
744650,simple,,Oudertraining gedragsproblemen,0,,visible,Ouders of verzorgers worden geholpen in de omgang met hun jonge kind met gedragsproblemen. ,,,,taxable,,1,,,0,0,,,,,0,,,,"Zorgthema (Area of care) > Impulscontrole en emotieregulatie, Zorgthema (Area of care) > Aandacht en concentratie, Zorgthema (Area of care) > Opvoeding, Zorgthema (Area of care) > Ontwikkeling, Doelgroep (Target audience) > Ouders of verzorgers, Vorm van zorg (Form of care) > Basis GGZ, Vorm van zorg (Form of care) > Specialistische GGZ, Therapievorm (Form of therapy) > Cognitieve gedragstherapie (CGT), Uitgever > Karify","Gedragsproblemen, probleemgedrag,ODD, CD, ouders, opvoeding, omgang met kind, omgaan met probleemgedrag, gedragsverandering, doelgedrag, gewenst gedrag",,,,,,,,,,,0
744651,simple,,Oudertraining gedragsproblemen ADHD,0,,visible,Ouders of verzorgers worden geholpen in de omgang met hun jonge kind met ADHD. ,,,,taxable,,1,,,0,0,,,,,0,,,,"Zorgthema (Area of care) > Aandacht en concentratie, Doelgroep (Target audience) > Ouders of verzorgers, Vorm van zorg (Form of care) > Basis GGZ, Vorm van zorg (Form of care) > Specialistische GGZ, Therapievorm (Form of therapy) > Cognitieve gedragstherapie (CGT), Uitgever > Karify","ADHD, Attention Deficit Hyperactivity Disorder, aandacht, aandachtstekortstoornis, hyperactiviteit, gedragsproblemen, probleemgedrag, ouders, opvoeding, omgang met kind, omgaan met probleemgedrag, omgaan met adhd, gedragsverandering, doelgedrag, gewenst gedrag",,,,,,,,,,,0
744652,simple,,Wat mijn leven zin en kracht geeft,0,,visible,Volwassenen die willen werken aan hun herstel worden uitgedaagd om op zoek te gaan naar wat hun leven zin en betekenis geeft.,,,,taxable,,1,,,0,0,,,,,0,,,,"Zorgthema (Area of care) > Generiek, Doelgroep (Target audience) > 16 - 25 jaar, Doelgroep (Target audience) > Volwassenen, Doelgroep (Target audience) > Ouderen, Vorm van zorg (Form of care) > Generiek, Vorm van zorg (Form of care) > Revalidatie en herstel, Therapievorm (Form of therapy) > Acceptance and commitment therapie (ACT), Uitgever > Karify","zingeving, waarden, waardevol leven, betekenisvol leven, herstel, herstelgerichte zorg, herstelondersteunende zorg, persoonlijk herstel, maatschappelijk herstel, herstel van klachten, verminderen van klachten",,,,,,,,,,,0
